"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
604	"00:32:25.10"		"Entschädigungszahlungen Deutschlands an Jugoslawien - Keine Entschädigung von Italien"
605	"00:32:40.01"		
606	"00:32:42.24"		
607	"00:32:46.09"		
608	"00:32:50.18"		
609	"00:33:17.14"		
610	"00:33:20.03"		
611	"00:33:34.08"		
612	"00:33:44.17"		
613	"00:33:53.15"		
614	"00:33:59.00"		
615	"00:34:10.06"		
616	"00:34:29.02"		
617	"00:34:36.05"		"Eheschließung 1952 und Gründung einer Familie"
618	"00:34:45.21"		
619	"00:34:49.23"		
620	"00:34:52.21"		
621	"00:34:54.08"		
622	"00:34:57.07"		
623	"00:35:00.00"		
624	"00:35:07.23"		
625	"00:35:12.12"		
626	"00:35:15.16"		
627	"00:35:34.12"		
628	"00:35:39.02"		
629	"00:35:42.11"		
630	"00:35:45.07"		"Umgang mit Kriegserinnerungen innerhalb der Familie"
631	"00:35:50.07"		
632	"00:35:57.21"		
