"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
122	"00:24:43.08"		
123	"00:25:07.12"		
124	"00:25:12.06"		
125	"00:25:16.12"		
126	"00:25:23.07"		
127	"00:25:32.18"		
128	"00:25:36.03"		
129	"00:25:46.00"		
130	"00:25:52.07"		
131	"00:26:00.22"		
132	"00:26:07.16"		
133	"00:26:11.10"		
134	"00:26:20.23"		
135	"00:26:24.24"		
136	"00:26:30.14"		
137	"00:26:41.09"		
138	"00:26:47.24"		
139	"00:26:52.18"		
140	"00:27:01.12"		
141	"00:27:13.06"		
142	"00:27:21.08"		
143	"00:27:24.12"		
144	"00:27:32.12"		
145	"00:27:36.17"		
146	"00:27:54.18"		
147	"00:28:06.17"		
148	"00:28:15.00"		
149	"00:28:27.01"		
150	"00:28:30.01"		
151	"00:28:51.14"		
152	"00:28:54.09"		
153	"00:29:02.03"		
154	"00:29:09.08"		
155	"00:29:20.23"		
156	"00:29:25.08"		
157	"00:29:31.02"		
158	"00:29:40.17"		
159	"00:29:45.17"		"Negative Bewertung des Unabhängigkeitskriegs 1991-1995"
160	"00:29:50.07"		
161	"00:30:22.02"		
162	"00:30:31.02"		
163	"00:30:35.05"		
164	"00:30:37.16"		
165	"00:30:52.11"		
166	"00:30:58.05"		
167	"00:31:03.16"		
168	"00:31:08.08"		
169	"00:31:12.14"		
170	"00:31:18.08"		
171	"00:31:27.03"		"Rückkehr ins Heimatdorf Milanuk nach dem Krieg"
172	"00:31:39.18"		
173	"00:31:45.09"		
174	"00:31:50.12"		
175	"00:32:08.17"		
176	"00:32:21.11"	"Die deutsche Besatzung 1941-1945 (II)"	"Gute Erfahrung mit deutschen Soldaten - Verluste in der Familie durch die Ustascha"
177	"00:33:03.09"		
178	"00:33:24.24"		
179	"00:33:30.13"		
180	"00:33:35.16"		
181	"00:33:58.21"		
182	"00:34:04.10"		
183	"00:34:17.21"		
184	"00:34:29.01"		
185	"00:34:39.21"		
186	"00:34:55.19"		
187	"00:35:03.11"		
