"Tape_Media_ID"	"Media_ID"	"Mainheading"	"Subheading"
"ZA011_06_03"	"ZA011_06_03_0277"	"Besatzungszeit"	"Einmarsch der Deutschen"
"ZA011_06_03"	"ZA011_06_03_0303"	"NULL"	"Vernichtung der Juden"
"ZA011_06_04"	"ZA011_06_04_0060"	"NULL"	"Deportation ins Deutsche Reich"
"ZA011_06_04"	"ZA011_06_04_0124"	"Zwangsarbeit in Elbing III"	"Kennzeichnung der Zwangsarbeiter, Streik im Lager"
"ZA011_06_04"	"ZA011_06_04_0209"	"NULL"	"Freizeitgestaltung im Lager"
"ZA011_06_04"	"ZA011_06_04_0245"	"NULL"	"Bezahlung"
"ZA011_06_04"	"ZA011_06_04_0264"	"NULL"	"Bewegungsfreiheit"
"ZA011_06_04"	"ZA011_06_04_0294"	"NULL"	"Ablauf des Arbeitstages, Essensversorgung"
"ZA011_06_04"	"ZA011_06_04_0337"	"NULL"	"Nächtlicher Fliegeralarm"
"ZA011_06_04"	"ZA011_06_04_0351"	"NULL"	"Kontakt zu den anderen Zwangsarbeitern und den deutschen Aufsehern"
"ZA011_06_05"	"ZA011_06_05_0014"	"NULL"	"Krankheit"
"ZA011_06_05"	"ZA011_06_05_0048"	"NULL"	"Urlaub der Zwangsarbeiter"
"ZA011_06_05"	"ZA011_06_05_0062"	"NULL"	"Kontakte zu den anderen Zwangsarbeitern II, Liebesbeziehungen"
"ZA011_06_05"	"ZA011_06_05_0121"	"NULL"	"Kälte und schwere körperliche Arbeit"
"ZA011_06_05"	"ZA011_06_05_0170"	"NULL"	"Struktur und Ausstattung des Lagers, Verhalten des Oberlagerführers"
"ZA011_06_05"	"ZA011_06_05_0217"	"NULL"	"Freundschaft mit Ekaterina Leonidowna"
"ZA011_06_05"	"ZA011_06_05_0245"	"NULL"	"Leben in Erdhütten bei Torun II"
"ZA011_06_05"	"ZA011_06_05_0258"	"NULL"	"Todesfälle im Lager"
"ZA011_06_05"	"ZA011_06_05_0269"	"Rückkehr in die Heimat II"	"Ernährung unterwegs"
"ZA011_06_05"	"ZA011_06_05_0287"	"NULL"	"Fortbewegungsmittel und Empfang durch die polnische Bevölkerung"
"ZA011_06_05"	"ZA011_06_05_0327"	"Lebenssituation in der Nachkriegszeit"	"Interesse für Elbing heute"
"ZA011_06_05"	"ZA011_06_05_0342"	"NULL"	"Erfahrung als weißrussische ehemalige Zwangsarbeiterin in der Sowjetunion"
"ZA011_06_05"	"ZA011_06_05_0363"	"NULL"	"Selbstversorgung und Tauschwirtschaft"
"ZA011_06_06"	"ZA011_06_06_0001"	"Zwangsarbeit in Elbing IV"	"Unterschiedliche Behandlung von östlichen/westlichen Sowjetbürgern, Selbstwahrnehmung als Belarussin"
"ZA011_06_06"	"ZA011_06_06_0063"	"Leben in der Sowjetunion"	"Erste Ehe"
"ZA011_06_06"	"ZA011_06_06_0080"	"NULL"	"Ehemalige Zwangsarbeit als offenes Geheimnis"
"ZA011_06_06"	"ZA011_06_06_0102"	"NULL"	"Berufstätigkeit und Renteneintritt, Zwangsaussiedlung der Tante"
"ZA011_06_06"	"ZA011_06_06_0157"	"NULL"	"Folgen der Zwangsarbeit auf weiteres Leben"
"ZA011_06_06"	"ZA011_06_06_0193"	"NULL"	"Entschädigungszahlungen aus Deutschland"
"ZA011_06_06"	"ZA011_06_06_0257"	"NULL"	"Mitgliedschaft in Vereinigung ehemaliger Zwangsarbeiter"
"ZA011_06_06"	"ZA011_06_06_0272"	"NULL"	"Bedeutung des 11. Aprils und des 9. Mais"
"ZA011_06_06"	"ZA011_06_06_0298"	"NULL"	"Kontakt zu den ehemaligen Zwangsarbetern heute"
"ZA021_05_01"	"ZA021_05_01_0001"	"Einleitung in das Interview"	"NULL"
"ZA021_05_01"	"ZA021_05_01_0004"	"Kindheit 1"	"Geburtsort"
"ZA021_05_01"	"ZA021_05_01_0006"	"Besatzungszeit 1"	"Anfang des Krieges/ Razzia"
"ZA021_05_01"	"ZA021_05_01_0008"	"Kindheit 2"	"Geburtsdatum"
"ZA021_05_01"	"ZA021_05_01_0015"	"NULL"	"Familie (Eltern und Geschwister)"
"ZA021_05_01"	"ZA021_05_01_0040"	"Jugend 1"	"Arbeit vor dem Krieganfang"
"ZA021_05_01"	"ZA021_05_01_0052"	"NULL"	"Lebensgeschichten der Geschwister"
"ZA021_05_01"	"ZA021_05_01_0056"	"Kindheit 2"	"Schule"
"ZA021_05_01"	"ZA021_05_01_0087"	"Jugend 2"	"Armeezeit"
"ZA021_05_01"	"ZA021_05_01_0094"	"Kindheit 3"	"Haushalt"
"ZA021_05_01"	"ZA021_05_01_0100"	"NULL"	"Kleidung 1"
"ZA021_05_01"	"ZA021_05_01_0102"	"NULL"	"Haus in der Kindheit"
"ZA021_05_01"	"ZA021_05_01_0108"	"NULL"	"Freunde in der Schulzeit"
"ZA021_05_01"	"ZA021_05_01_0116"	"NULL"	"Spiele und Sportaktivitäten"
"ZA021_05_01"	"ZA021_05_01_0125"	"NULL"	"Gespräche über Politik und Krieg"
"ZA021_05_01"	"ZA021_05_01_0145"	"NULL"	"Pionierzeit"
"ZA021_05_01"	"ZA021_05_01_0155"	"Besatzungszeit 2"	"Anfang des Krieges und erste Bombenagriffe"
"ZA021_05_01"	"ZA021_05_01_0171"	"NULL"	"Deutsche Soldaten"
"ZA021_05_01"	"ZA021_05_01_0188"	"NULL"	"Neue Regierung"
"ZA021_05_02"	"ZA021_05_02_0001"	"NULL"	"Arbeit während der Besatzungszeit"
"ZA021_05_02"	"ZA021_05_02_0012"	"NULL"	"Nahrung während der Besatzungszeit"
"ZA021_05_02"	"ZA021_05_02_0016"	"NULL"	"Haushalt und Hof"
"ZA021_05_02"	"ZA021_05_02_0020"	"NULL"	"Tauschhabdel"
"ZA021_05_02"	"ZA021_05_02_0042"	"NULL"	"Eindrücke von der Arbeit"
"ZA021_05_02"	"ZA021_05_02_0051"	"NULL"	"Beziehung zu den deutschen Soldaten"
"ZA021_05_02"	"ZA021_05_02_0059"	"NULL"	"Eltern"
"ZA021_05_02"	"ZA021_05_02_0063"	"NULL"	"Agitation zur Arbeit in Deutschland"
"ZA021_05_02"	"ZA021_05_02_0067"	"NULL"	"Razzien und eigene Verschleppung"
"ZA021_05_02"	"ZA021_05_02_0084"	"Deportation nach Deutschland 1"	"Aufenthalt in Bobrujsk 1"
"ZA021_05_02"	"ZA021_05_02_0086"	"NULL"	"\Banja\"" im polnischen Durchgangslager"""
"ZA021_05_02"	"ZA021_05_02_0087"	"NULL"	"\Börse\"" (Aufteilung) in Deutschland"""
"ZA021_05_02"	"ZA021_05_02_0088"	"NULL"	"Ankunft in Stolberg (bei Aachen) 1"
"ZA021_05_02"	"ZA021_05_02_0089"	"NULL"	"Kommandantur in Weißrussland"
"ZA021_05_02"	"ZA021_05_02_0093"	"NULL"	"Aufenthalt in Bobrujsk 2"
"ZA021_05_02"	"ZA021_05_02_0098"	"NULL"	"Fahrt im Viehwagon"
"ZA021_05_02"	"ZA021_05_02_0109"	"Besatzungszeit 3"	"Gespräche über Verschleppung"
"ZA021_05_02"	"ZA021_05_02_0116"	"Aufenthalt in Stolberg (bei Aachen) 1"	"Briefe nach Hause 1"
"ZA021_05_02"	"ZA021_05_02_0118"	"Deportation nach Deutschland 2"	"Vorwissen über Zwangsarbeit"
"ZA021_05_02"	"ZA021_05_02_0120"	"NULL"	"Nahrung während des Transportes"
"ZA021_05_02"	"ZA021_05_02_0125"	"NULL"	"Durchgangslager in Polen"
"ZA021_05_02"	"ZA021_05_02_0138"	"Aufenthalt in Stolberg (bei Aachen) 2"	"Ankunft in Stolberg (bei Aachen) 2"
"ZA021_05_02"	"ZA021_05_02_0140"	"NULL"	"Das erste Lager 1"
"ZA021_05_02"	"ZA021_05_02_0144"	"NULL"	"Arbeit im (Militär-)Werk 1"
"ZA021_05_03"	"ZA021_05_03_0005"	"NULL"	"Kommunikation und Verhältnis zu den Kollegen 1"
"ZA021_05_03"	"ZA021_05_03_0012"	"NULL"	"Arbeit im (Militär-) Werk 2"
"ZA021_05_03"	"ZA021_05_03_0021"	"NULL"	"Nahrung und Hunger"
"ZA021_05_03"	"ZA021_05_03_0034"	"NULL"	"Kleidung 2"
"ZA021_05_03"	"ZA021_05_03_0045"	"NULL"	"Das erste Lager 2"
"ZA021_05_03"	"ZA021_05_03_0049"	"NULL"	"Kommunikation und Verhältnis zu den Kollegen 2"
"ZA021_05_03"	"ZA021_05_03_0056"	"NULL"	"Briefe nach Hause 2"
"ZA021_05_03"	"ZA021_05_03_0063"	"NULL"	"Hilfe eines deutschen Soldaten"
"ZA021_05_03"	"ZA021_05_03_0068"	"NULL"	"Bombenangriffe auf Stolberg/Bunkeraufenthalt"
"ZA021_05_03"	"ZA021_05_03_0078"	"NULL"	"Sanitäre Anlagen 1"
"ZA021_05_03"	"ZA021_05_03_0089"	"NULL"	"Vorgesetzte"
"ZA021_05_03"	"ZA021_05_03_0092"	"NULL"	"Beziehung zur deutschen Zivilbevölkerung 1"
"ZA021_05_03"	"ZA021_05_03_0098"	"NULL"	"Verhältnis zu den deutschen Vorgesetzten"
"ZA021_05_03"	"ZA021_05_03_0100"	"NULL"	"Beziehung zur deutschen Zivilbevölkerung 2"
"ZA021_05_03"	"ZA021_05_03_0106"	"NULL"	"Ärztliche Versorgung im Lager"
"ZA021_05_03"	"ZA021_05_03_0108"	"NULL"	"Eigene Krankheit 1"
"ZA021_05_03"	"ZA021_05_03_0116"	"NULL"	"Zeitliche Angaben"
"ZA021_05_04"	"ZA021_05_04_0001"	"NULL"	"Letzte Tage im Stolberger Lager (1944)"
"ZA021_05_04"	"ZA021_05_04_0004"	"Das zweite Lager 1"	"Überführung ins zweite Lager"
"ZA021_05_04"	"ZA021_05_04_0005"	"NULL"	"Eigene Krankheit 2"
"ZA021_05_04"	"ZA021_05_04_0007"	"Befreiung 1"	"NULL"
"ZA021_05_04"	"ZA021_05_04_0008"	"Das zweite Lager 2"	"NULL"
"ZA021_05_04"	"ZA021_05_04_0013"	"NULL"	"Eigene Krankheit 3/Krankenbaracke"
"ZA021_05_04"	"ZA021_05_04_0018"	"NULL"	"Überlebenskampf gegen die Krankheit"
"ZA021_05_04"	"ZA021_05_04_0028"	"NULL"	"Sanitäre Anlagen 2"
"ZA021_05_04"	"ZA021_05_04_0035"	"NULL"	"Nahrung im zweiten Lager"
"ZA021_05_04"	"ZA021_05_04_0037"	"NULL"	"Kriegssituation/Herbst (1944) 1"
"ZA021_05_04"	"ZA021_05_04_0041"	"NULL"	"Abtransport aus dem zweiten Lager"
"ZA021_05_04"	"ZA021_05_04_0049"	"NULL"	"Kriegssituation/Herbst (1944) 2"
"ZA021_05_04"	"ZA021_05_04_0053"	"NULL"	"Beziehung zwischen Deutschen und Gefangenen am Ende des Krieges"
"ZA021_05_04"	"ZA021_05_04_0062"	"Zwangsarbeit in der Landwirtschaft (Winter 1944-1945)"	"Ankunft"
"ZA021_05_04"	"ZA021_05_04_0072"	"NULL"	"Kontakt zu den Vorgesetzten und anderen Zwangsarbeitenden"
"ZA021_05_04"	"ZA021_05_04_0073"	"NULL"	"Arbeit auf dem Hof"
"ZA021_05_04"	"ZA021_05_04_0081"	"NULL"	"Haus des Besitzers"
"ZA021_05_04"	"ZA021_05_04_0088"	"NULL"	"Unterbringung 1"
"ZA021_05_04"	"ZA021_05_04_0097"	"NULL"	"Beziehung zu anderen Gefangenen"
"ZA021_05_04"	"ZA021_05_04_0105"	"NULL"	"Arbeitstag auf dem Hof"
"ZA021_05_04"	"ZA021_05_04_0117"	"NULL"	"Besonderheiten des deutschen Alltags"
"ZA021_05_04"	"ZA021_05_04_0125"	"NULL"	"Der Bauer"
"ZA021_05_04"	"ZA021_05_04_0130"	"NULL"	"Kleidung 3"
"ZA021_05_05"	"ZA021_05_05_0002"	"Nach dem Krieg/Einzug in die Armee"	"Rückfahrt nach Hause (1950)"
"ZA021_05_05"	"ZA021_05_05_0005"	"NULL"	"Heimaturlaub (1946) 1"
"ZA021_05_05"	"ZA021_05_05_0007"	"NULL"	"Entscheidung für die sowjetische Armee"
"ZA021_05_05"	"ZA021_05_05_0008"	"NULL"	"Einzug in die Armee"
"ZA021_05_05"	"ZA021_05_05_0012"	"NULL"	"Filtration 1"
"ZA021_05_05"	"ZA021_05_05_0014"	"NULL"	"Panzerreparaturdienst bei Potsdam"
"ZA021_05_05"	"ZA021_05_05_0017"	"NULL"	"Unterbringung 2"
"ZA021_05_05"	"ZA021_05_05_0019"	"NULL"	"Filtration 2"
"ZA021_05_05"	"ZA021_05_05_0023"	"NULL"	"Eindrücke von Berlin"
"ZA021_05_05"	"ZA021_05_05_0042"	"NULL"	"Briefe nach Hause 3"
"ZA021_05_05"	"ZA021_05_05_0046"	"NULL"	"Heimaturlaub (1946) 2"
"ZA021_05_05"	"ZA021_05_05_0054"	"NULL"	"Geschwister"
"ZA021_05_05"	"ZA021_05_05_0064"	"Das Leben in der Sowjetunion (nach 1950) 1"	"Ankunft und Arbeitssuche"
"ZA021_05_05"	"ZA021_05_05_0067"	"NULL"	"Abendschule und Weiterbildung"
"ZA021_05_05"	"ZA021_05_05_0075"	"NULL"	"Ehefrau"
"ZA021_05_05"	"ZA021_05_05_0083"	"NULL"	"Eigene Kinder 1"
"ZA021_05_05"	"ZA021_05_05_0085"	"NULL"	"Akzeptanz der Zwangsarbeit"
"ZA021_05_05"	"ZA021_05_05_0087"	"NULL"	"Rückkehr von Landsleuten aus Deutschland"
"ZA021_05_05"	"ZA021_05_05_0090"	"NULL"	"Anerkennung durch den Staat"
"ZA021_05_05"	"ZA021_05_05_0094"	"Besatzungszeit 3"	"Agitation zur Arbeit in Deutschland 2"
"ZA021_05_05"	"ZA021_05_05_0098"	"NULL"	"Partisanen und Polizisten"
"ZA021_05_05"	"ZA021_05_05_0104"	"Das Leben in der Sowjetunion 2"	"Verhältnis zu Kollaborateuren 1"
"ZA021_05_05"	"ZA021_05_05_0108"	"Besatzungszeit 4"	"Verhältnis zu Kollaborateuren 2"
"ZA021_05_05"	"ZA021_05_05_0116"	"Das Leben in der Sowjetunion 3"	"Verhältnis zu Kollaborateuren 3"
"ZA021_05_05"	"ZA021_05_05_0120"	"NULL"	"Wiederaufbau der Region Bobrujsk"
"ZA021_05_05"	"ZA021_05_05_0125"	"Verabschiedung/ Beendigung des Interviews"	"NULL"
"ZA021_05_05"	"ZA021_05_05_0138"	"NULL"	"Eigene Kinder 2"
"ZA021_05_05"	"ZA021_05_05_0140"	"NULL"	"Veteranentreffen"
"ZA070_04_01"	"ZA070_04_01_0001"	"Einleitung"	"NULL"
"ZA070_04_01"	"ZA070_04_01_0004"	"Kindheit"	"Eltern"
"ZA070_04_01"	"ZA070_04_01_0008"	"NULL"	"Umzug nach Warschau"
"ZA070_04_01"	"ZA070_04_01_0012"	"NULL"	"Schulische Ausbildung"
"ZA070_04_01"	"ZA070_04_01_0015"	"Besatzungszeit"	"Anmerkung zum Bildungswesen während der Okkupation"
"ZA070_04_01"	"ZA070_04_01_0023"	"NULL"	"Berufswunsch Seemann - Besuch der Schifffahrtsschule"
"ZA070_04_01"	"ZA070_04_01_0028"	"NULL"	"Anmerkungen zur Untergrundbewegung"
"ZA070_04_01"	"ZA070_04_01_0037"	"NULL"	"Warschauer Aufstand 1944"
"ZA070_04_01"	"ZA070_04_01_0052"	"NULL"	"Rekrutierung von Arbeitskräften für Schanzarbeiten"
"ZA100_01_01"	"ZA100_01_01_0001"	"Kindheit und Jugend im ungarischen Püspökladány"	"NULL"
"ZA100_01_01"	"ZA100_01_01_0007"	"NULL"	"Leben als Jüdin in Vorkriegsungarn"
"ZA100_01_01"	"ZA100_01_01_0017"	"NULL"	"Herkunft der Familie"
"ZA100_01_01"	"ZA100_01_01_0061"	"NULL"	"Beruf des Vaters"
"ZA100_01_01"	"ZA100_01_01_0084"	"NULL"	"Geschwisterfolge"
"ZA100_01_01"	"ZA100_01_01_0095"	"NULL"	"Schulbildung und \Numerus clausus\"""""
"ZA100_01_01"	"ZA100_01_01_0102"	"NULL"	"Ausbildung als Näherin"
"ZA100_01_01"	"ZA100_01_01_0171"	"NULL"	"Antijüdische Maßnahmen vor Kriegsbeginn"
"ZA100_01_01"	"ZA100_01_01_0231"	"Die deutsche Besatzung Ungarns"	"Einmarsch deutscher Truppen im Mai 1944"
"ZA100_01_01"	"ZA100_01_01_0254"	"NULL"	"Errichtung eines Ghettos in Püspökladány und Arbeit in der Landwirtschaft"
"ZA100_01_01"	"ZA100_01_01_0276"	"NULL"	"Internierung in Debrecen"
"ZA100_01_01"	"ZA100_01_01_0319"	"NULL"	"Juli 1944: Deportation nach Auschwitz-Birkenau"
"ZA100_01_01"	"ZA100_01_01_0345"	"KZ Auschwitz-Birkenau (1944)"	"Ankunft und Selektion durch Dr. Mengele"
"ZA100_01_01"	"ZA100_01_01_0416"	"NULL"	"Der Alltag im B-Lager"
"ZA100_01_01"	"ZA100_01_01_0524"	"NULL"	"Erneute Selektion und Abtransport nach Bergen-Belsen"
"ZA100_01_01"	"ZA100_01_01_0586"	"KZ Bergen-Belsen"	"Heilung der Krätze"
"ZA100_01_01"	"ZA100_01_01_0591"	"NULL"	"Die Lebensbedingungen im Lager"
"ZA100_01_01"	"ZA100_01_01_0616"	"Zwangsarbeit im Frauenlager in Markkleeberg-West"	"Arbeit in einer Kiesgrube"
"ZA100_01_01"	"ZA100_01_01_0641"	"NULL"	"Die Lebensbedingungen und der Alltag im Lager"
"ZA100_01_01"	"ZA100_01_01_0780"	"NULL"	"Evakuierung nach Theresienstadt im Frühjahr 1945"
"ZA100_01_01"	"ZA100_01_01_0871"	"Befreiung in Theresienstadt und Neuanfang in Ungarn"	"Versorgung durch das Rote Kreuz"
"ZA100_01_01"	"ZA100_01_01_0938"	"NULL"	"Übernahme des Lagers durch die Rote Armee"
"ZA100_01_01"	"ZA100_01_01_0969"	"NULL"	"Rückkehr nach Ungarn"
"ZA100_01_01"	"ZA100_01_01_1012"	"NULL"	"Begegnung mit dem Bruder Zeev in Auschwitz"
"ZA100_01_01"	"ZA100_01_01_1080"	"NULL"	"Aufbau einer neuen Existenz in Ungarn (I)"
"ZA100_01_01"	"ZA100_01_01_1105"	"NULL"	"Die Verfolgungsgeschichte des Ehemannes Jehuda Gross"
"ZA100_01_01"	"ZA100_01_01_1184"	"NULL"	"Gedanken über das Schicksal der ungarischen Juden"
"ZA100_01_01"	"ZA100_01_01_1205"	"NULL"	"Ankunft in Budapest bei Verwandten"
"ZA100_01_01"	"ZA100_01_01_1250"	"NULL"	"Folgen des Hungers"
"ZA100_01_01"	"ZA100_01_01_1271"	"NULL"	"Verhältnis zur Religion und zum Glauben nach dem Holocaust"
"ZA100_01_01"	"ZA100_01_01_1299"	"NULL"	"Heirat und Gründung einer neuen Familie"
"ZA100_01_01"	"ZA100_01_01_1346"	"NULL"	"Aufbau einer neuen Existenz in Ungarn (II)"
"ZA100_01_01"	"ZA100_01_01_1481"	"Auswanderung nach Israel 1957"	"Erlernen der hebräischen Sprache (I)"
"ZA100_01_01"	"ZA100_01_01_1495"	"NULL"	"Unterbringung in einer Einwanderersiedlung in Tiberias"
"ZA100_01_01"	"ZA100_01_01_1542"	"NULL"	"Übersiedlung nach Kfar Chassidim, Jessodot und Beerscheba"
"ZA100_01_01"	"ZA100_01_01_1585"	"NULL"	"Ausbildung und Familienleben der Kinder"
"ZA100_01_01"	"ZA100_01_01_1633"	"NULL"	"Ein steter Kampf um den Lebensunterhalt: Arbeit als Haushaltshilfe und in einem Lebensmittelgeschäft"
"ZA100_01_01"	"ZA100_01_01_1683"	"NULL"	"Erlernen der hebräischen Sprache (II)"
"ZA100_01_01"	"ZA100_01_01_1702"	"NULL"	"Sprach- und Religionsunterricht der Kinder"
"ZA100_01_01"	"ZA100_01_01_1735"	"NULL"	"Rückblick auf die eigene Schulzeit in Ungarn"
"ZA100_01_01"	"ZA100_01_01_1756"	"NULL"	"Das Ghetto in Püspökladány"
"ZA100_01_01"	"ZA100_01_01_1799"	"NULL"	"Berufsweg des Ehemannes Jehuda Gross"
"ZA100_01_01"	"ZA100_01_01_1842"	"Leben in einer Siedlung im Gusch Katif (Gazastreifen)"	"Arbeit als Näherin"
"ZA100_01_01"	"ZA100_01_01_1850"	"NULL"	"Übersiedlung nach Gusch Katif (1986)"
"ZA100_01_01"	"ZA100_01_01_1884"	"NULL"	"Rückblick auf den Abzug aus dem Gazastreifen im Jahr 2005"
"ZA100_01_01"	"ZA100_01_01_1919"	"NULL"	"Leben in der Siedlung Newe Dekalim"
"ZA100_01_01"	"ZA100_01_01_1994"	"NULL"	"Auszug der Familie aus Gusch Katif (2005)"
"ZA100_01_01"	"ZA100_01_01_2092"	"Rückblick auf die Zeit während des Zweiten Weltkriegs und auf die Auswanderung nach Israel"	"Aufnahme der Familie Gross als Neueinwanderer in Israel (1957)"
"ZA100_01_01"	"ZA100_01_01_2136"	"NULL"	"Auseinandersetzung mit den Erfahrungen während des Holocaust"
"ZA100_01_01"	"ZA100_01_01_2175"	"NULL"	"Jüdisches Leben in Nachkriegsungarn"
"ZA100_01_01"	"ZA100_01_01_2218"	"NULL"	"Die Lage der Häftlinge in Auschwitz-Birkenau und in Markkleeberg-West"
"ZA100_01_01"	"ZA100_01_01_2299"	"NULL"	"Verarbeitung der Vergangenheit im Familien- und Bekanntenkreis"
"ZA100_01_01"	"ZA100_01_01_2352"	"NULL"	"Die Bedeutung von Zeitzeugen bei der Auseinandersetzung mit dem Holocaust"
"ZA100_01_01"	"ZA100_01_01_2492"	"NULL"	"Präsentation von alten und neuen Familienbildern"
"ZA130_04_01"	"ZA130_04_01_0001"	"Einleitung"	"NULL"
"ZA130_04_01"	"ZA130_04_01_0002"	"Kindheit u Familie"	"Geburt in Milanuk, Bezirk Slavonska Požega, Kroatien"
"ZA130_04_01"	"ZA130_04_01_0004"	"NULL"	"Bauernfamilie mit zahlreichen Angehörigen"
"ZA130_04_01"	"ZA130_04_01_0005"	"Besatzungszeit I"	"Familie in der Widerstandsbewegung"
"ZA130_04_01"	"ZA130_04_01_0008"	"NULL"	"Als Kind Kurier für die Nationale Befreiungsarmee"
"ZA130_04_01"	"ZA130_04_01_0010"	"Verhaftung und Internierung I"	"Verhaftung durch deutsche Einheit am 28. Dezember 1942 in Gazije"
"ZA130_04_01"	"ZA130_04_01_0012"	"NULL"	"Deportation nach Zemun und Internierung im KZ Sajmište"
"ZA130_04_01"	"ZA130_04_01_0017"	"NULL"	"Verlegung in das KZ Banjica und Internierung für 3 Monate"
"ZA130_04_01"	"ZA130_04_01_0021"	"NULL"	"Verhöre und Selektion der Insassen zur Zwangsarbeit od Erschiessung"
"ZA130_04_01"	"ZA130_04_01_0026"	"NULL"	"Erkrankung an Typhus I"
"ZA130_04_01"	"ZA130_04_01_0027"	"NULL"	"Misshandlungen I"
"ZA130_04_01"	"ZA130_04_01_0029"	"NULL"	"Verpflegung"
