"Seg.Nr."	"Timecode"	"Hauptüberschrift"	"Zwischenüberschrift"
263	"00:13:38.17"		
264	"00:13:49.09"		
265	"00:13:57.12"		
266	"00:14:00.14"		
267	"00:14:09.21"		
268	"00:14:14.00"		
269	"00:14:24.16"		
270	"00:14:29.01"		
271	"00:14:33.05"		
272	"00:14:37.20"		
273	"00:14:47.01"		
274	"00:14:50.04"		
275	"00:14:53.02"		
276	"00:15:02.12"		
277	"00:15:15.07"		"Katastrophale hygienische Bedingungen"
278	"00:15:39.21"		
279	"00:15:49.22"		
280	"00:16:00.13"		"Keine Hierarchie unter den Häftlingen"
281	"00:16:10.13"		
282	"00:16:13.17"		
283	"00:16:16.21"		
284	"00:16:18.24"		
285	"00:16:24.14"		
286	"00:16:56.19"		
287	"00:17:12.13"		
288	"00:17:20.18"		
289	"00:17:35.02"		"Weder aktive Freizeitgestaltung noch kulturelle Aktivitäten im KZ Banjica"
290	"00:17:40.18"		
291	"00:17:44.06"		
292	"00:17:55.01"		
293	"00:18:00.17"		
294	"00:18:13.23"		
295	"00:18:23.12"		
296	"00:18:24.21"		
297	"00:18:30.19"		"Mithäftlinge unterschiedlicher Herkunft und politischer Orientierung (II)"
298	"00:18:34.18"		
299	"00:18:38.18"		
300	"00:18:40.15"		
301	"00:18:45.11"		
302	"00:19:01.05"		
303	"00:19:13.23"		
304	"00:19:16.04"		
305	"00:19:26.19"		"Willkürliche Internierung"
306	"00:19:31.22"		
307	"00:19:42.20"		
308	"00:19:57.21"		
309	"00:20:05.24"		"Administration im KZ Banjica"
310	"00:20:12.17"		
311	"00:20:42.02"		
312	"00:21:01.02"		
313	"00:21:09.03"		
314	"00:21:14.02"		
315	"00:21:23.14"		
316	"00:21:26.05"		
317	"00:21:32.01"		
318	"00:21:40.02"		"Misshandlungen im KZ Sajmište"
319	"00:21:57.23"		
320	"00:22:00.07"		
321	"00:22:06.19"		
322	"00:22:15.03"		
323	"00:22:18.14"		
324	"00:22:28.22"		
325	"00:22:47.23"		"Politische Diskussionen fanden in den KZs nicht statt (I)"
326	"00:23:00.16"		
327	"00:23:04.22"		
328	"00:23:10.12"		
329	"00:23:22.14"		
330	"00:23:32.06"		"Schweigen als Bauernweisheit: ""Rede nicht, wenn du nicht musst!"""
331	"00:23:40.10"		
332	"00:23:42.18"		
333	"00:23:50.11"		
334	"00:23:54.09"		
335	"00:24:05.06"		
336	"00:24:10.03"		
337	"00:24:13.20"		
338	"00:24:16.03"		
339	"00:24:23.04"	"Jugoslawien in der Nachkriegszeit (II)"	
340	"00:24:27.22"		
341	"00:24:30.15"		
342	"00:24:33.19"		"Politische Verfolgungen in Jugoslawien unmittelbar nach Kriegsende"
343	"00:24:47.23"		
344	"00:24:57.22"		
345	"00:25:07.01"		"Bruch mit der Sowjetunion im Jahr 1948"
346	"00:25:13.01"		
347	"00:25:18.20"		
348	"00:25:40.20"		
349	"00:25:51.04"		
350	"00:25:55.04"		
351	"00:26:05.15"		
352	"00:26:40.06"		"Das Gefängnis Goli Otok und dessen Schließung auf Anregung von Ivan Fumić als Justizminister 1988"
353	"00:27:11.20"		
354	"00:27:18.01"		
355	"00:27:27.21"		
356	"00:27:30.11"		
357	"00:27:55.14"		
358	"00:28:12.09"		
359	"00:28:13.21"		
360	"00:28:14.19"		
361	"00:28:44.18"		
362	"00:29:00.13"		
363	"00:29:15.21"		
364	"00:29:42.15"		
365	"00:30:27.19"		"Beschäftigung mit aktuellen Themen anstatt mit Kriegserinnerungen (I)"
366	"00:30:35.03"		
367	"00:30:48.18"		
368	"00:30:57.05"		
369	"00:31:07.12"		
370	"00:31:23.00"		
371	"00:31:23.22"		
372	"00:31:27.04"		
373	"00:31:29.03"		
374	"00:31:33.11"		
375	"00:31:40.03"		
376	"00:31:53.01"		
377	"00:32:10.02"		"Exkurs: Als Kind nicht in konspirative Aktivitäten im KZ Banjica eingeweiht"
378	"00:32:19.10"		
379	"00:32:23.11"		
380	"00:32:26.14"		
381	"00:32:34.09"		
382	"00:32:39.22"		
383	"00:32:52.04"		
384	"00:33:23.22"		"Mitarbeit im Bund antifaschistischer Kämpfer (SAB)"
385	"00:33:28.02"		
386	"00:34:30.00"		
387	"00:34:38.11"		
388	"00:34:53.10"		
389	"00:35:08.23"		
390	"00:35:15.20"		
391	"00:35:22.20"		
